Date,^GSPC,MSFT,AAPL,AMZN,GOOGL,TSLA,GOOG,META,NVDA,BRK-B,JPM
2022-05-27,4158.240234375,271.8949890136719,149.18495178222656,115.14649963378906,112.31649780273438,253.2100067138672,112.79900360107422,195.1300048828125,188.01437377929688,319.1099853515625,128.96517944335938
2022-05-31,4132.14990234375,270.5317687988281,148.38739013671875,120.20950317382812,113.76200103759766,252.75332641601562,114.03900146484375,193.63999938964844,186.6250762939453,315.9800109863281,129.90830993652344
2022-06-01,4101.22998046875,271.07904052734375,148.25778198242188,121.68399810791016,113.89199829101562,246.7899932861328,114.13700103759766,188.63999938964844,183.1068572998047,312.2099914550781,127.6290512084961
2022-06-02,4176.81982421875,273.2283935546875,150.75018310546875,125.51100158691406,117.62249755859375,258.3333435058594,117.74600219726562,198.86000061035156,195.82040405273438,314.95001220703125,129.68234252929688
2022-06-03,4108.5400390625,268.69085693359375,144.9379119873047,122.3499984741211,114.54100036621094,234.51666259765625,114.56400299072266,190.77999877929688,187.10482788085938,310.94000244140625,127.87466430664062
2022-06-06,4121.43017578125,267.4270935058594,145.6956024169922,124.79000091552734,116.82050323486328,238.27999877929688,117.010498046875,194.25,187.76451110839844,312.1499938964844,127.45220947265625
2022-06-07,4160.68017578125,271.1586608886719,148.25778198242188,123.0,117.14949798583984,238.8866729736328,117.22949981689453,195.64999389648438,189.1637725830078,313.6499938964844,127.78624725341797
2022-06-08,4115.77001953125,269.0789489746094,147.51007080078125,121.18000030517578,117.19400024414062,241.86666870117188,117.23799896240234,196.63999938964844,186.42459106445312,308.739990234375,125.75257873535156
2022-06-09,4017.820068359375,263.48663330078125,142.20623779296875,116.1500015258789,114.83550262451172,239.7066650390625,114.91799926757812,184.0,180.42637634277344,300.79998779296875,123.10981750488281
2022-06-10,3900.860107421875,251.74468994140625,136.71299743652344,109.6500015258789,111.1614990234375,232.22999572753906,111.42749786376953,175.57000732421875,169.6895751953125,291.7099914550781,117.4509506225586
2022-06-13,3749.6298828125,241.0675048828125,131.4789581298828,103.66999816894531,106.39250183105469,215.73666381835938,106.87650299072266,164.25999450683594,156.42352294921875,281.55999755859375,113.95345306396484
2022-06-14,3735.47998046875,243.28652954101562,132.3562774658203,102.30999755859375,106.71549987792969,220.88999938964844,107.19400024414062,163.72999572753906,158.31295776367188,277.6400146484375,112.05733489990234
2022-06-15,3789.989990234375,250.52073669433594,135.01815795898438,107.66999816894531,109.7645034790039,233.0,110.3905029296875,169.35000610351562,165.2209014892578,278.92999267578125,113.38363647460938
2022-06-16,3666.77001953125,243.76416015625,129.66448974609375,103.66000366210938,106.03350067138672,213.10000610351562,106.63600158691406,160.8699951171875,155.96365356445312,268.55999755859375,111.43840789794922
2022-06-17,3674.840087890625,246.43096923828125,131.15992736816406,106.22000122070312,107.14350128173828,216.75999450683594,107.8655014038086,163.74000549316406,158.75282287597656,268.0799865722656,111.04542541503906
2022-06-21,3764.7900390625,252.49099731445312,135.4568328857422,108.68000030517578,111.54399871826172,237.0366668701172,112.01499938964844,157.0500030517578,165.6107940673828,271.7699890136719,113.7962646484375
2022-06-22,3759.889892578125,251.88400268554688,134.93841552734375,108.94999694824219,111.48750305175781,236.086669921875,112.03399658203125,155.85000610351562,163.55140686035156,269.7900085449219,113.15767669677734
2022-06-23,3795.72998046875,257.5857849121094,137.8495330810547,112.44000244140625,112.24199676513672,235.07000732421875,112.68450164794922,158.75,162.20179748535156,267.5199890136719,111.91979217529297
2022-06-24,3911.739990234375,266.3822937011719,141.22921752929688,116.45999908447266,117.9749984741211,245.7066650390625,118.53800201416016,170.16000366210938,171.20912170410156,278.2799987792969,115.26010131835938
2022-06-27,3900.110107421875,263.58612060546875,141.22921752929688,113.22000122070312,115.83350372314453,244.9199981689453,116.62249755859375,169.49000549316406,168.639892578125,278.3999938964844,114.33660125732422
2022-06-28,3821.550048828125,255.21751403808594,137.02206420898438,107.4000015258789,112.00749969482422,232.663330078125,112.57150268554688,160.67999267578125,159.7725372314453,273.8599853515625,113.78643798828125
2022-06-29,3818.830078125,258.9789123535156,138.80661010742188,108.91999816894531,111.70149993896484,228.49000549316406,112.25650024414062,163.94000244140625,155.3738250732422,273.489990234375,113.27557373046875
2022-06-30,3785.3798828125,255.56578063964844,136.3042449951172,106.20999908447266,108.96299743652344,224.47332763671875,109.37249755859375,161.25,151.5449676513672,273.0199890136719,110.63280487060547
2022-07-01,3825.330078125,258.3022155761719,138.50750732421875,109.55999755859375,108.73750305175781,227.26333618164062,109.08100128173828,160.02999877929688,145.18685913085938,277.5,112.04751586914062
2022-07-05,3831.389892578125,261.55615234375,141.1295166015625,113.5,113.26300048828125,233.06666564941406,113.88700103759766,168.19000244140625,149.59555053710938,275.69000244140625,111.62133026123047
2022-07-06,3845.080078125,264.89959716796875,142.4853973388672,114.33000183105469,114.5719985961914,231.73333740234375,115.2135009765625,169.77000427246094,151.2550506591797,275.6499938964844,110.8978042602539
2022-07-07,3902.6201171875,267.0788269042969,145.90496826171875,116.33000183105469,118.78299713134766,244.5433349609375,119.30599975585938,172.19000244140625,158.53289794921875,279.2799987792969,113.70270538330078
2022-07-08,3899.3798828125,266.34246826171875,146.5928497314453,115.54000091552734,119.35350036621094,250.76333618164062,120.16850280761719,170.8800048828125,158.3329620361328,280.8299865722656,113.34590148925781
